X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
189.112,5601.941,189.112,5470.894,189.112,6953.478,189.112,4959.162,189.112,6786.494,189.112,6387.994,189.112,5632.659
190.058,5630.594,190.058,5467.245,190.058,6920.261,190.058,4953.119,190.058,6803.532,190.058,6385.42,190.058,5643.909
191.003,5639.178,191.003,5472.299,191.003,6953.45,191.003,4968.365,191.003,6805.083,191.003,6385.653,191.003,5634.356
191.949,5619.093,191.949,5452.793,191.949,6923.916,191.949,4941.174,191.949,6774.941,191.949,6405.552,191.949,5608.042
192.895,5638.254,192.895,5450.56,192.895,6962.563,192.895,4954.179,192.895,6872.092,192.895,6400.838,192.894,5612.627
193.84,5634.997,193.84,5454.441,193.84,6958.687,193.84,4915.11,193.84,6893.657,193.84,6383.745,193.84,5611.78
194.786,5658.989,194.786,5447.318,194.786,6941.687,194.786,4977.685,194.786,6870.944,194.786,6385.297,194.785,5601.811
195.731,5616.283,195.731,5453.507,195.731,6920.943,195.731,4930.359,195.731,6873.163,195.731,6380.042,195.731,5619.675
196.677,5595.562,196.677,5440.875,196.677,6926.34,196.677,4948.021,196.677,6828.149,196.677,6391.917,196.677,5598.902
197.622,5642.615,197.622,5476.782,197.622,6940.404,197.622,4935.288,197.622,6837.428,197.622,6398.838,197.622,5603.005
198.568,5661.713,198.568,5452.002,198.568,6956.383,198.568,4941.127,198.568,6818.532,198.568,6383.797,198.568,5590.099
199.513,5656.983,199.513,5444.14,199.513,6914.801,199.513,4959.77,199.513,6823.662,199.513,6372.277,199.513,5621.914
200.459,5614.838,200.459,5444.362,200.459,6874.498,200.459,4955.6,200.459,6830.608,200.459,6343.696,200.459,5580.65
201.405,5617.468,201.405,5427.285,201.405,6925.671,201.405,4908.683,201.405,6821.044,201.405,6347.219,201.404,5643.448
202.35,5626.098,202.35,5440.444,202.35,6924.764,202.35,4934.29,202.35,6804.741,202.35,6371.499,202.35,5599.715
203.296,5616.244,203.296,5466.905,203.296,6903.957,203.296,4918.045,203.296,6778.784,203.296,6371.896,203.296,5616.788
204.241,5599.7,204.241,5480.756,204.241,6916.029,204.241,4957.513,204.241,6789.617,204.241,6386.112,204.241,5651.516
205.187,5632.646,205.187,5430.519,205.187,6930.82,205.187,4931.607,205.187,6756.512,205.187,6400.579,205.187,5643.326
206.132,5588.156,206.132,5430.629,206.132,6925.166,206.132,4906.502,206.132,6764.156,206.132,6376.294,206.132,5622.135
207.078,5632.36,207.078,5437.986,207.078,6944.336,207.078,4929.57,207.078,6776.017,207.078,6336.201,207.078,5642.455
