[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
30.831,25.7443,30.831,34.94107,30.831,27.27645,30.831,12.69697
30.99,25.9282,30.99,34.87143,30.99,27.28838,30.99,12.97222
31.15,25.9828,31.15,35.0125,31.15,27.32116,31.15,12.7702
31.31,26.0661,31.31,35.10714,31.31,27.18927,31.31,12.89394
31.47,26.1322,31.47,35.03036,31.47,27.33308,31.47,12.88384
31.629,26.2241,31.629,34.825,31.629,27.14307,31.629,12.99747
31.789,26.2385,31.789,35.13572,31.789,27.32414,31.789,12.83838
31.949,26.0948,31.949,34.83393,31.949,27.47914,31.949,13.01515
32.109,26.2098,32.109,35.29286,32.109,27.50447,32.109,12.84848
32.268,26.342,32.268,34.94107,32.268,27.50596,32.268,12.7298
32.428,26.3966,32.428,35.11607,32.428,27.30104,32.428,12.90404
32.588,26.1149,32.588,35.10714,32.588,27.46349,32.588,12.93434
32.748,25.9023,32.748,34.81071,32.748,27.51788,32.748,13.0101
32.907,26.0489,32.907,34.6875,32.907,27.43145,32.907,12.83333
33.067,25.8592,33.067,34.98928,33.067,27.29657,33.067,12.87121
33.227,26.1609,33.227,34.93036,33.227,27.5231,33.227,12.99747
33.386,26.0805,33.386,35.01607,33.386,27.57526,33.387,12.94444
33.546,26.1063,33.546,35.14107,33.546,27.39195,33.546,12.84596
33.706,26.0862,33.706,34.89821,33.706,27.59911,33.706,12.93939
33.866,26.1523,33.866,34.96607,33.866,27.55291,33.866,12.97475
34.025,26.4195,34.025,34.71964,34.025,27.55514,34.026,12.81313
34.185,26.1897,34.185,34.60714,34.185,27.51863,34.185,12.7601
34.345,26.3592,34.345,34.79643,34.345,27.64382,34.345,12.90404
34.505,26.0661,34.505,34.74821,34.505,27.44709,34.505,12.86869
34.664,26.2184,34.664,34.63572,34.664,27.54844,34.664,12.75
34.824,25.727,34.824,34.91429,34.824,27.47466,34.824,12.81313
34.984,26.2557,34.984,34.79821,34.984,27.3763,34.984,12.75758
35.144,25.9023,35.144,34.76964,35.144,27.55067,35.144,12.82071
35.303,26.1552,35.303,35.1,35.303,27.307,35.303,12.93939
35.463,25.931,35.463,34.70357,35.463,27.30477,35.463,12.86869
35.623,25.9971,35.623,35.3,35.623,27.36289,35.623,12.76515
35.783,26.0259,35.783,35.05357,35.783,27.40089,35.783,13.04545
35.942,26.2471,35.942,34.73571,35.942,27.37779,35.942,12.95202
36.102,26.2557,36.102,34.97143,36.102,27.32787,36.102,13.00253
36.262,26.0776,36.262,34.94464,36.262,27.41058,36.262,12.94192
36.422,26.0057,36.422,35.01964,36.422,27.23696,36.422,13.0101
36.581,25.9224,36.581,34.77143,36.581,27.40164,36.581,13.00253
36.741,26.0489,36.741,34.91607,36.741,27.32936,36.741,12.79798
36.901,26.0632,36.901,34.59643,36.901,27.37854,36.901,12.98232
37.061,26.1868,37.061,34.65179,37.061,27.30775,37.061,12.91667
37.22,26.2529,37.22,34.81071,37.22,27.41952,37.22,12.72222
37.38,26.0057,37.38,34.76072,37.38,27.22951,37.38,12.66162
37.54,26.0201,37.54,34.74464,37.54,27.33308,37.54,12.65404
37.7,26.1609,37.7,34.55536,37.7,27.16841,37.7,12.76768
37.859,26.3649,37.859,34.73214,37.859,27.33085,37.859,12.75253
38.019,25.9741,38.019,34.73928,38.019,27.21982,38.019,12.79798
38.179,25.9167,38.179,34.83393,38.179,27.30104,38.179,12.90404
38.339,25.9282,38.339,34.64107,38.339,27.15723,38.339,12.91414
38.498,26.0057,38.498,34.81786,38.498,27.28391,38.498,12.74495
38.658,26.2356,38.658,34.91607,38.658,27.16095,38.658,12.92172
38.818,26.1667,38.818,34.6,38.818,27.20268,38.818,12.89646
38.978,25.9943,38.978,34.61428,38.978,27.07601,38.978,12.86364
39.137,26.1724,39.137,34.59643,39.137,27.11103,39.137,13.07828
39.297,26.0776,39.297,34.63036,39.297,27.23696,39.297,12.82576
39.457,26.158,39.457,34.5125,39.457,27.15797,39.457,12.85101
39.616,26.2069,39.616,34.36428,39.616,27.06259,39.617,12.98737
39.776,26.023,39.776,34.69822,39.776,27.21535,39.776,12.95455
39.936,26.2931,39.936,34.56964,39.936,27.28092,39.936,12.73232
40.096,26.0086,40.096,34.6125,40.096,26.97094,40.096,13.07576
40.255,26.2557,40.255,34.30893,40.255,26.92698,40.256,12.88636
40.415,26.2759,40.415,34.68393,40.415,27.19821,40.415,12.92929
40.575,26.2241,40.575,34.66964,40.575,27.16468,40.575,12.84343
40.735,25.9368,40.735,34.67321,40.735,27.34054,40.735,13.12879
40.894,26.046,40.894,34.63214,40.894,27.06855,40.895,12.92424
41.054,25.9511,41.054,34.62857,41.054,27.08942,41.054,12.86869
41.214,26.1207,41.214,34.35,41.214,27.15648,41.214,12.78535
41.374,26.4425,41.374,34.64821,41.374,27.07154,41.374,12.74242
41.533,26.1839,41.533,34.48928,41.533,27.1848,41.533,12.90909
41.693,26.4483,41.693,34.32679,41.693,27.02534,41.693,12.86364
41.853,26.1954,41.853,34.59643,41.853,27.10954,41.853,12.88889
42.013,26.1983,42.013,34.3,42.013,27.25335,42.013,12.88384
42.172,26.2816,42.172,34.39107,42.172,27.14978,42.172,12.91667
42.332,26.1695,42.332,34.17857,42.332,26.96721,42.332,12.91919
42.492,26.0057,42.492,34.15714,42.492,27.16244,42.492,12.81566
42.652,26.1178,42.652,34.18393,42.652,27.11401,42.652,12.85101
42.811,25.9569,42.811,34.55536,42.811,27.00224,42.811,12.76515
42.971,26.3161,42.971,34.51429,42.971,27.14307,42.971,12.74747
43.131,26.1236,43.131,34.25893,43.131,27.26006,43.131,12.91162
43.291,26.1437,43.291,34.41607,43.291,27.09612,43.291,12.79293
43.45,26.3161,43.45,34.48928,43.45,27.21386,43.45,12.78283
43.61,26.0948,43.61,34.59107,43.61,26.98659,43.61,12.94697
43.77,26.3132,43.77,34.08393,43.77,27.13785,43.77,12.90152
43.93,26.1006,43.93,34.18214,43.93,26.96945,43.93,12.83586
44.089,26.0086,44.089,34.26429,44.089,27.00447,44.089,12.86616
44.249,26.0948,44.249,34.11964,44.249,27.10358,44.249,12.88636
44.409,25.9626,44.409,34.19822,44.409,27.03279,44.409,13.03283
44.569,26.2155,44.569,34.46786,44.569,27.06632,44.569,12.83586
44.728,25.8793,44.728,34.22143,44.728,27.17064,44.728,12.87374
44.888,26.2155,44.888,34.18571,44.888,26.80551,44.888,12.96465
45.048,26.3736,45.048,34.09107,45.048,26.97615,45.048,12.81818
45.208,25.9914,45.208,33.99107,45.208,27.07154,45.208,12.91162
45.367,25.8678,45.367,34.11786,45.367,27.09091,45.367,12.79798
45.527,26.3966,45.527,34.03929,45.527,27.02608,45.527,12.84848
45.687,26.0776,45.687,33.98036,45.687,27.09985,45.687,12.86869
45.847,25.8161,45.847,33.99821,45.847,27.10134,45.847,12.92929
46.006,26.0029,46.006,34.09643,46.006,27.02682,46.006,12.96212
46.166,25.9799,46.166,34.01607,46.166,27.10209,46.166,12.88384
46.326,26.0431,46.326,34.08036,46.326,27.09016,46.326,12.95202
46.485,25.9368,46.485,34.16786,46.485,27.09389,46.486,12.81061
46.645,26.2586,46.645,34.33214,46.645,27.07452,46.645,12.81566
46.805,26.0891,46.805,34.01607,46.805,27.0775,46.805,12.68434
46.965,26.0575,46.965,33.98928,46.965,26.94262,46.965,13.03788
47.124,25.9626,47.124,34.075,47.124,26.94411,47.125,12.81566
47.284,26.0144,47.284,34.22143,47.284,26.94337,47.284,12.84343
47.444,26,47.444,34.27679,47.444,27.00224,47.444,12.85606
47.604,26.2701,47.604,34.16071,47.604,26.99702,47.604,12.84848
