[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,X,Y,X,Y
145.617,11672.301,145.556,14976.816,145.617,17925.514,145.545,11495.089,145.616,19458.865,145.616,14598.421
146.562,11654.287,146.501,14983.163,146.562,17971.473,146.49,11506.146,146.562,19305.889,146.562,14644.152
147.508,11673.069,147.447,14969.219,147.508,18019.377,147.435,11490.839,147.508,19399.99,147.508,14622.629
148.453,11632.349,148.392,14970.938,148.453,17977.416,148.38,11498.691,148.453,19580.752,148.453,14490.036
149.399,11632.843,149.337,14962.087,149.399,17927.41,149.325,11496.3,149.399,19279.799,149.399,14545.414
150.344,11649.434,150.282,15002.102,150.344,17934.098,150.27,11495.543,150.344,19372.896,150.344,14688.333
151.29,11629.759,151.227,14975.659,151.29,17967.93,151.215,11480.451,151.29,19277.133,151.29,14479.799
152.235,11623.551,152.172,14985.214,152.235,17990.947,152.16,11484.808,152.235,19268.729,152.235,14511.129
153.181,11621.146,153.118,14979.589,153.181,17978.119,153.105,11467.721,153.181,19403.746,153.181,14536.021
154.127,11642.709,154.063,14948.929,154.127,17987.654,154.051,11463.86,154.127,19292.588,154.127,14560.302
155.072,11594.498,155.008,14995.51,155.072,17942.65,154.996,11458.794,155.072,19245.703,155.072,14442.721
156.018,11604.175,155.953,14998.281,156.018,17986.201,155.941,11463.598,156.018,19633.896,156.018,14436.906
156.963,11605.517,156.898,14989.129,156.963,17941.77,156.886,11458.459,156.963,19466.666,156.963,14421.156
157.909,11596.315,157.843,14962.122,157.909,17995.305,157.831,11452.048,157.909,19415.627,157.909,14433.41
158.854,11528.334,158.789,14973.212,158.854,17991.889,158.776,11446.643,158.854,19381.219,158.854,14563.253
159.8,11595.869,159.734,14961.523,159.8,18018.688,159.721,11448.649,159.8,19219.854,159.8,14439.808
160.745,11586.68,160.679,14932.412,160.745,17992.979,160.666,11444.147,160.745,19450.867,160.745,14418.403
161.691,11625.367,161.624,14969.264,161.691,18006.705,161.611,11454.002,161.691,19560.098,161.691,14368.875
162.637,11621.944,162.569,14952.681,162.637,18020.945,162.556,11457.161,162.637,19203.012,162.637,14314.251
163.582,11616.93,163.514,14968.112,163.582,18014.092,163.502,11417.64,163.582,19455.727,163.582,14408.044
164.528,11582.288,164.46,14952.244,164.528,17996.738,164.447,11430.869,164.528,19324.238,164.528,14463.341
165.473,11589.783,165.405,14955.847,165.473,17984.049,165.392,11432.376,165.473,19209.391,165.473,14360.451
166.419,11589.596,166.35,14931.828,166.419,17999.176,166.337,11419.451,166.419,19205.682,166.419,14221.404
167.364,11535.263,167.295,14965.308,167.364,17987.707,167.282,11421.159,167.364,19256.488,167.364,14373.213
168.31,11523.916,168.24,14951.433,168.31,17975.777,168.227,11416.826,168.31,19424.162,168.31,14206.149
169.256,11582.558,169.185,14959.261,169.256,17975.619,169.172,11423.449,169.256,19074.889,169.256,14146.158
170.201,11567.548,170.131,14974.461,170.201,17969.443,170.117,11437.366,170.201,19169.32,170.201,14352.325
171.147,11552.441,171.076,14965.746,171.147,18007.158,171.062,11463.241,171.147,19370.164,171.147,14121.768
172.092,11552.714,172.021,14944.901,172.092,18033.273,172.007,11444.084,172.092,19278.443,172.092,14159.772
173.038,11537.645,172.966,14976.193,173.038,17980.049,172.952,11433.227,173.038,19242.232,173.038,14125.372
173.983,11584.434,173.911,14971.4,173.983,17946.117,173.898,11425.017,173.983,19234.326,173.983,14112.097
174.929,11586.846,174.856,14972.881,174.929,18017.025,174.843,11397.743,174.929,19203.814,174.929,14042.165
175.874,11514.486,175.802,14945.244,175.874,17974.93,175.788,11429.241,175.874,19201.92,175.874,14001.605
176.82,11553.226,176.747,14956.274,176.82,17986.852,176.733,11397.765,176.82,19067.889,176.82,14064.683
177.766,11525.079,177.692,14943.241,177.766,17960.559,177.678,11410.575,177.766,19139.848,177.766,14003.651
178.711,11537.671,178.637,14958.991,178.711,17962.818,178.623,11418.27,178.711,18932.26,178.711,14176.807
179.657,11543.789,179.582,14946.184,179.657,17953.689,179.568,11407.37,179.657,18961.211,179.657,13884.309
180.602,11524.873,180.527,14952.099,180.602,17997.281,180.513,11393.031,180.602,19411.008,180.602,14069.498
181.548,11500.001,181.473,14962.548,181.548,17967.256,181.458,11414.965,181.548,19134.797,181.548,14000.287
182.493,11468.903,182.418,14963.894,182.493,17924.422,182.403,11400.149,182.493,18969.234,182.493,13960.267
183.439,11514.284,183.363,14936.869,183.439,17944.447,183.349,11401.346,183.439,19202.75,183.439,13799.312
184.385,11516.94,184.308,14939.048,184.385,17984.734,184.294,11388.014,184.385,19187.115,184.385,13929.207
185.33,11516.618,185.253,14906.166,185.33,17997.912,185.239,11403.219,185.33,19228.703,185.33,13979.721
186.276,11549.146,186.199,14947.768,186.276,17937.85,186.184,11398.522,186.276,18869.742,186.276,13908.468
187.221,11483.804,187.144,14943.816,187.221,17924.865,187.129,11398.922,187.221,18702.736,187.221,14029.328
188.167,11505.195,188.089,14943.678,188.167,17950.545,188.074,11419.769,188.167,19099.34,188.167,13822.496
189.112,11467.035,189.034,14949.397,189.112,17957.547,189.019,11404.917,189.112,18883.865,189.112,13963.538
190.058,11483.893,189.979,14942.527,190.058,17947.221,189.964,11397.392,190.058,19253.254,190.058,14093.812
191.003,11499.37,190.924,14955.636,191.003,17974.184,190.909,11404.038,191.003,18966.191,191.003,13991.728
191.949,11472.258,191.87,14935.042,191.949,17949.578,191.854,11392.676,191.949,18830.662,191.949,13964.517
192.895,11503.632,192.815,14934.919,192.895,17945.854,192.8,11400.563,192.895,18948.633,192.895,13814.77
193.84,11509.108,193.76,14967.784,193.84,17967.949,193.745,11384.096,193.84,18746.084,193.84,13782.146
194.786,11488.804,194.705,14976.59,194.786,17894.193,194.69,11389.316,194.786,18935.881,194.786,13817.331
195.731,11502.936,195.65,14958.908,195.731,17925.939,195.635,11373.847,195.731,18819.701,195.731,14067.073
196.677,11500.742,196.595,14940.971,196.677,17965.723,196.58,11378.886,196.677,18919.996,196.677,13828.53
197.622,11464.44,197.541,14946.804,197.622,17953.658,197.525,11379.745,197.622,19121.488,197.622,13841.193
198.568,11433.162,198.486,14938.979,198.568,17930.799,198.47,11376.478,198.568,19054.852,198.568,13795.551
199.514,11472.676,199.431,14955.154,199.514,17982.086,199.415,11378.502,199.513,18866.369,199.513,13699.083
200.459,11479.956,200.376,14954.734,200.459,17919.541,200.36,11382.388,200.459,18599.531,200.459,13809.127
201.405,11420.063,201.321,14969.746,201.405,17938.115,201.305,11372.179,201.405,18792.83,201.405,13734.248
202.35,11443.972,202.266,14960.781,202.35,17925.498,202.25,11353.889,202.35,18867.246,202.35,13767.518
203.296,11496.774,203.212,14962.867,203.296,17886.898,203.196,11367.704,203.296,18885.623,203.296,13893.147
204.241,11493.343,204.157,14962.733,204.241,17916.6,204.141,11358.92,204.241,18850.932,204.241,13579.713
205.187,11491.739,205.102,14965.965,205.187,17917.281,205.086,11379.532,205.187,19108.053,205.187,13786.603
206.132,11484.655,206.047,14985.552,206.132,17906.836,206.031,11354.376,206.132,18813.146,206.132,13709.592
207.078,11449.327,206.992,14956.557,207.078,17864.049,206.976,11343.128,207.078,18948.156,207.078,13614.554
208.024,11476.374,207.937,14969.202,208.024,17871.516,207.921,11338.348,208.024,19036.355,208.024,13466.758
208.969,11444.878,208.883,14952.797,208.969,17890.404,208.866,11360.113,208.969,18799.895,208.969,13640.914
209.915,11455.669,209.828,14969.388,209.915,17934.74,209.811,11339.342,209.915,18883.082,209.915,13594.419
210.86,11441.553,210.773,14939.76,210.86,17884.182,210.756,11364.199,210.86,18905.051,210.86,13329.068
211.806,11403.928,211.718,14945.906,211.806,17851.156,211.701,11373.856,211.806,18620.42,211.806,13476.045
212.751,11482.253,212.663,14969.172,212.751,17857.506,212.647,11320.747,212.751,18740.783,212.751,13635.663
213.697,11465.31,213.608,14927.725,213.697,17865.75,213.592,11320.544,213.697,18989.797,213.697,13554.338
214.643,11445.548,214.554,14928.988,214.643,17885.76,214.537,11340.365,214.642,18705.594,214.642,13363.597
215.588,11419.986,215.499,14948.079,215.588,17889.611,215.482,11338.381,215.588,18522.512,215.588,13448.737
216.534,11407.771,216.444,14951.749,216.534,17872.838,216.427,11362.499,216.534,18878.84,216.534,13286.179
217.479,11486.557,217.389,14943.86,217.479,17914.264,217.372,11369.546,217.479,18605.648,217.479,13463.099
218.425,11375.342,218.334,14982.965,218.425,17898.512,218.317,11323.33,218.425,18610.93,218.425,13415.167
219.37,11402.52,219.279,14955.696,219.37,17894.594,219.262,11335.632,219.37,18765.996,219.37,13304.426
220.316,11398.895,220.225,14932.584,220.316,17884.182,220.207,11353.067,220.316,18772.461,220.316,13275.932
221.261,11394.922,221.17,14909.587,221.261,17860.572,221.152,11348.526,221.261,18710.674,221.261,13327.419
222.207,11417.782,222.115,14936.279,222.207,17896.361,222.097,11362.956,222.207,18744.832,222.207,13329.84
223.153,11406.78,223.06,14957.939,223.153,17863.811,223.043,11337.321,223.153,18794.66,223.153,13453.034
224.098,11430.218,224.005,14938.345,224.098,17865.908,223.988,11348.859,224.098,18628.125,224.098,13402.968
225.044,11401.688,224.951,14917.138,225.044,17875.586,224.933,11346.633,225.044,18674.654,225.044,13392.892
225.989,11414.004,225.896,14962.138,225.989,17882.713,225.878,11334.867,225.989,18609.602,225.989,13390.283
226.935,11392.541,226.841,14944.471,226.935,17881.822,226.823,11332.107,226.935,18412.234,226.935,13352.17
227.88,11400.015,227.786,14939.582,227.88,17882.959,227.768,11325.127,227.88,18302.387,227.88,13308.687
228.826,11404.924,228.731,14969.944,228.826,17851.008,228.713,11332.524,228.826,18672.209,228.826,13303.473
229.771,11377.816,229.676,14934.051,229.771,17872.254,229.658,11344.035,229.771,18743.016,229.771,13414.887
230.717,11415.711,230.622,14917.246,230.717,17879.193,230.603,11319.672,230.717,18635.627,230.717,13256.321
231.663,11400.698,231.567,14947.767,231.663,17859.42,231.548,11310.846,231.663,18528.078,231.663,13342.396
232.608,11387.987,232.512,14918.724,232.608,17807.762,232.494,11305.888,232.608,18599.49,232.608,13195.151
233.554,11365.194,233.457,14959.624,233.554,17853.201,233.439,11310.008,233.554,18583.889,233.554,13289.589
234.499,11362.042,234.402,14954.318,234.499,17828.125,234.384,11321.682,234.499,18532.105,234.499,13250.608
235.445,11371.265,235.347,14957.788,235.445,17843.742,235.329,11294.273,235.445,18679.148,235.445,13363.905
236.39,11369.919,236.293,14932.74,236.39,17801.832,236.274,11334.646,236.39,18598.625,236.39,13299.345
237.336,11368.855,237.238,14937.273,237.336,17807.674,237.219,11312.495,237.336,18412.971,237.336,13307.213
238.282,11417.48,238.183,14949.111,238.282,17833.891,238.164,11307.696,238.282,18822.635,238.282,13146.223
239.227,11346.172,239.128,14933.663,239.227,17825.646,239.109,11330.047,239.227,18542.641,239.227,12955.835
240.173,11350.264,240.073,14907.291,240.173,17848.35,240.054,11305.129,240.173,18241.936,240.173,13065.52
241.118,11361.702,241.018,14931.531,241.118,17819.732,240.999,11331.655,241.118,18561.758,241.118,13273.185
