X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
125.76,12338.97,125.76,6405.278,125.76,6290.022,125.76,8803.894,125.76,8123.631,125.76,9097.142,125.76,6698.829
126.705,12466.801,126.705,6388.752,126.705,6562.574,126.705,9015.769,126.705,8193.956,126.705,9025.587,126.705,6757.148
127.651,12393.421,127.651,6458.171,127.651,6639.728,127.651,9051.653,127.651,8219.001,127.651,8973.945,127.651,6768.333
128.596,12466.701,128.596,6411.872,128.596,6473.988,128.596,8739.188,128.596,8017.256,128.596,9010.988,128.597,6744.112
129.542,12289.081,129.542,6454.27,129.542,6522.357,129.542,8997.691,129.542,8215.91,129.542,8965.548,129.542,6758.999
130.488,12379.421,130.488,6414.368,130.488,6558.388,130.488,9087.033,130.488,8072.569,130.488,8940.963,130.488,6693.958
131.433,12208.127,131.433,6430.388,131.433,6453.517,131.433,9063.94,131.433,8062.508,131.433,8985.815,131.433,6714.957
132.379,12378.931,132.379,6458.996,132.379,6602.642,132.379,8900.93,132.379,7988.441,132.379,8983.77,132.379,6733.922
133.324,12238.917,133.324,6422.269,133.324,6526.153,133.324,8951.615,133.324,8272.857,133.324,9036.145,133.324,6633.125
134.27,12430.352,134.27,6362.852,134.27,6468.958,134.27,8931.472,134.27,7882.954,134.27,9036.978,134.27,6670.374
135.215,12095.772,135.215,6431.674,135.215,6399.055,135.215,8989.888,135.215,8260.996,135.215,8932.522,135.215,6736.491
136.161,12187.401,136.161,6395.042,136.161,6729.991,136.161,8857.679,136.161,8262.441,136.161,8928.042,136.161,6621.354
137.106,12450.469,137.106,6351.23,137.106,6474.017,137.106,8907.77,137.106,8349.317,137.106,8861.908,137.107,6663.572
138.052,12119.567,138.052,6377.567,138.052,6469.947,138.052,8833.952,138.052,8160.776,138.052,8861.553,138.052,6659.353
138.998,12332.366,138.998,6380.986,138.998,6477.842,138.998,8924.202,138.998,8158.582,138.998,8918.596,138.998,6618.914
139.943,12345.885,139.943,6352.413,139.943,6679.53,139.943,9067.568,139.943,8208.37,139.943,8918.767,139.943,6691.311
140.889,12313.302,140.889,6357.139,140.889,6475.635,140.889,8708.23,140.889,8123.594,140.889,8884.722,140.889,6673.404
141.834,12066.03,141.834,6362.3,141.834,6573.352,141.834,8998.529,141.834,8106.563,141.834,8725.921,141.834,6699.134
142.78,12043.529,142.78,6386.336,142.78,6496.486,142.78,8787.852,142.78,8433.547,142.78,8813.888,142.78,6681.251
143.725,12043.138,143.725,6422.439,143.725,6568.521,143.725,8820.262,143.725,8010.159,143.725,8840.996,143.726,6664.469
144.671,12187.6,144.671,6395.206,144.671,6513.721,144.671,8785.271,144.671,8232.879,144.671,8786.684,144.671,6702.14
145.616,12304.989,145.616,6349.229,145.616,6486.016,145.616,8873.684,145.616,8252.064,145.616,8728.333,145.617,6652.99
146.562,12050.337,146.562,6359.141,146.562,6454.717,146.562,8802.365,146.562,8223.709,146.562,8795.19,146.562,6791.047
147.508,12190.279,147.508,6407.585,147.508,6412.405,147.508,8892.089,147.508,8072.836,147.508,8717.066,147.508,6632.335
148.453,12014.787,148.453,6401.585,148.453,6688.159,148.453,8887.944,148.453,8192.693,148.453,8722.034,148.453,6727.434
149.399,12151.801,149.399,6236.916,149.399,6565.885,149.399,8667.588,149.399,7999.637,149.399,8713.017,149.399,6581.436
150.344,12075.293,150.344,6291.833,150.344,6613.396,150.344,8823.158,150.344,8204.713,150.344,8664.599,150.344,6587.963
151.29,11988.609,151.29,6360.99,151.29,6596.123,151.29,8789.146,151.29,8067.989,151.29,8863.764,151.29,6639.942
152.235,12116.103,152.235,6422.308,152.235,6584.905,152.235,8863.5,152.235,8115.735,152.235,8742.98,152.236,6600.078
153.181,12236.815,153.181,6335.924,153.181,6578.837,153.181,8653.21,153.181,8167.542,153.181,8701.143,153.181,6559.899
154.127,11940.25,154.127,6305.038,154.127,6646.298,154.127,8838.513,154.127,7864.69,154.127,8751.134,154.127,6635.991
155.072,12115.766,155.072,6247.255,155.072,6485.373,155.072,8684.855,155.072,8251.923,155.072,8833.343,155.072,6570.969
156.018,12188.515,156.018,6293.85,156.018,6745.115,156.018,8738.583,156.018,8375.728,156.018,8665.324,156.018,6531.711
156.963,12137.366,156.963,6305.499,156.963,6750.007,156.963,8727.709,156.963,7981.827,156.963,8796.094,156.963,6587.346
157.909,11785.479,157.909,6329.965,157.909,6679.674,157.909,8852.92,157.909,8067.454,157.909,8722.004,157.909,6613.022
158.854,12013.929,158.854,6311.572,158.854,6612.801,158.854,8646.415,158.854,8160.759,158.854,8639.341,158.855,6601.63
159.8,11988.655,159.8,6186.763,159.8,6684.287,159.8,8763.46,159.8,7946.712,159.8,8696.682,159.8,6657.72
160.745,11941.942,160.745,6306.586,160.745,6409.893,160.745,8828.996,160.745,8214.666,160.745,8606.93,160.746,6604.051
161.691,11938.317,161.691,6341.303,161.691,6492.824,161.691,8769.463,161.691,8324.124,161.691,8637.483,161.691,6659.739
162.637,12039.607,162.637,6274.606,162.637,6617.539,162.637,8804.692,162.637,8107.874,162.637,8747.224,162.637,6639.844
163.582,11942.147,163.582,6293.612,163.582,6801.919,163.582,8852.431,163.582,8106.913,163.582,8767.175,163.582,6605.761
164.528,11925.658,164.528,6234.959,164.528,6522.187,164.528,8484.482,164.528,8206.813,164.528,8544.556,164.528,6582.02
165.473,12073.661,165.473,6372.128,165.473,6558.155,165.473,8679.618,165.473,8169.518,165.473,8624.169,165.473,6713.411
166.419,11911.594,166.419,6350.693,166.419,6677.419,166.419,8718.105,166.419,8315.699,166.419,8759.423,166.419,6708.573
167.364,11868.645,167.364,5973.416,167.364,6777.287,167.364,8750.262,167.364,8141.743,167.364,8619.002,167.365,6677
168.31,12028.589,168.31,6476.085,168.31,6700.595,168.31,8618.908,168.31,8327.552,168.31,8696.487,168.31,6545.076
169.256,11973.729,169.256,6498.737,169.256,6647.775,169.256,8648.495,169.256,8190.723,169.256,8651.073,169.256,6537.805
170.201,11895.114,170.201,6589.331,170.201,6873.695,170.201,8766.34,170.201,8061.916,170.201,8505.265,170.201,6502.18
171.147,11948.989,171.147,6378.01,171.147,6556.263,171.147,8725.498,171.147,8285.428,171.147,8607.902,171.147,6614.211
172.092,11950.012,172.092,6991.219,172.092,6829.704,172.092,8696.941,172.092,8093.684,172.092,8636.335,172.092,6532.795
173.038,12084.754,173.038,7009.544,173.038,6516.336,173.038,8772.629,173.038,8280.364,173.038,8591.747,173.038,6593.305
173.983,12120.591,173.983,7146.966,173.983,6763.974,173.983,8757.612,173.983,8357.998,173.983,8638.997,173.984,6524.773
174.929,12205.445,174.929,7237.176,174.929,6546.538,174.929,8657.389,174.929,8230.859,174.929,8479.916,174.929,6558.322
175.874,11925.237,175.874,7235.555,175.874,6662.32,175.874,8690.537,175.874,8059.342,175.874,8619.577,175.875,6569.086
176.82,12023.958,176.82,7279.546,176.82,6698.285,176.82,8760.44,176.82,8158.513,176.82,8522.701,176.82,6546.986
177.766,11948.242,177.766,7298.949,177.766,6567.952,177.766,8732.835,177.766,8150.361,177.766,8471.219,177.766,6497.313
178.711,11899.353,178.711,7287.413,178.711,6836.096,178.711,8582.268,178.711,8090.265,178.711,8677.679,178.711,6552.075
179.657,11820.925,179.657,7394.918,179.657,6793.538,179.657,8515.271,179.657,8153.48,179.657,8546.099,179.657,6514.299
180.602,11788.028,180.602,7238.256,180.602,6772.582,180.602,8573.938,180.602,8300.78,180.602,8528.285,180.602,6450.22
181.548,11894.362,181.548,7259.943,181.548,6685.465,181.548,8661.32,181.548,8082.545,181.548,8563.376,181.548,6447.895
182.493,11919.721,182.493,7277.745,182.493,6564.704,182.493,8509.17,182.493,8373.77,182.493,8419.825,182.494,6505.181
183.439,11934.905,183.439,7283.942,183.439,6804.401,183.439,8694.111,183.439,8346.192,183.439,8460.255,183.439,6561.649
184.385,11664.245,184.385,7320.45,184.385,6540.755,184.385,8562.298,184.385,8318.745,184.385,8480.108,184.385,6559.863
185.33,11885.741,185.33,7293.647,185.33,6654.165,185.33,8568.878,185.33,8278.887,185.33,8618.267,185.33,6505.796
186.276,11882.475,186.276,7227.429,186.276,6521.194,186.276,8603.795,186.276,8066.95,186.276,8583.948,186.276,6484.691
187.221,11929.019,187.221,7237.846,187.221,6670.704,187.221,8672.351,187.221,8448.189,187.221,8573.628,187.221,6562.975
188.167,12009.538,188.167,7175.893,188.167,6497.945,188.167,8708.795,188.167,8084.56,188.167,8481.366,188.167,6573.773
189.112,11699.795,189.112,7160.464,189.112,6745.085,189.112,8606.717,189.112,8230.29,189.112,8561.191,189.113,6501.776
190.058,11842.653,190.058,7237.026,190.058,6663.623,190.058,8447.104,190.058,8250.709,190.058,8499.873,190.058,6443.955
191.003,11989.627,191.003,7166.944,191.003,6639.071,191.003,8730.121,191.003,8378.347,191.003,8587.647,191.004,6520.237
191.949,11711.797,191.949,7185.022,191.949,6709.025,191.949,8401.909,191.949,8251.162,191.949,8639.288,191.949,6510.477
192.895,11915.582,192.895,7267.089,192.895,6705.214,192.895,8532.127,192.895,8198.556,192.895,8400.406,192.895,6526.088
