X,Y,X,Y,X,Y,X,Y
260.029,14611.655,260.03,10813.603,260.03,18052.123,260.029,7938.298
260.975,14755.171,260.975,10912.107,260.975,17839.758,260.975,7786.141
261.921,14724.372,261.921,10819.626,261.921,17967.762,261.921,7875.804
262.866,14657.484,262.866,10983.461,262.866,18015.752,262.866,7805.292
263.812,14624.272,263.812,10821.208,263.812,17904.531,263.812,7947.45
264.757,14612.285,264.757,10729.105,264.757,17932.699,264.757,7879.062
265.703,14591.226,265.703,10860.47,265.703,17714.584,265.703,7765.91
266.648,14679.755,266.648,10874.403,266.648,17860.83,266.648,7808.631
267.594,14578.646,267.594,10779.996,267.594,17897.443,267.594,7850.625
268.539,14588.211,268.54,10734.242,268.54,17863.771,268.539,7836.065
269.485,14682.404,269.485,10808.875,269.485,17948.273,269.485,7798.658
270.431,14650.878,270.431,10830.27,270.431,17626.984,270.431,7909.849
271.376,14626.569,271.376,10927.113,271.376,17890.682,271.376,7834.101
272.322,14682.422,272.322,11030.581,272.322,17924.184,272.322,7746.203
273.267,14580.609,273.267,10737.606,273.267,17878.021,273.267,7829.477
274.213,14302.084,274.213,10943.096,274.213,17854.295,274.213,7774.306
275.158,14621.997,275.159,11004.949,275.159,17813.658,275.158,7812.456
276.104,14571.808,276.104,10830.535,276.104,17624.355,276.104,7782.214
277.05,14516.251,277.05,10744.825,277.05,17793.469,277.05,7795.336
277.995,14483.472,277.995,10793.141,277.995,17667.238,277.995,7828.959
278.941,14482.381,278.941,10718.126,278.941,17675.074,278.941,7867.502
279.886,14701.727,279.886,10785.562,279.886,17654.545,279.886,7709.365
280.832,14573.823,280.832,12185.984,280.832,17596.66,280.832,7689.299
281.777,14473.937,281.777,11219.14,281.777,17686.605,281.777,7561.692
282.723,14442.717,282.723,11102.307,282.723,17773.881,282.723,7752.897
283.668,14509.516,283.669,11007.542,283.669,17810.869,283.668,7657.338
284.614,14508.281,284.614,11016.213,284.614,17591.76,284.614,7797.291
285.56,14614.076,285.56,10815.057,285.56,17672.525,285.56,7783.424
286.505,14497.648,286.505,10900.615,286.505,17616.229,286.505,7580.856
287.451,14517.31,287.451,10784.319,287.451,17471.338,287.451,7740.842
288.396,14397.529,288.396,10993.941,288.396,17435.781,288.396,7852.992
289.342,14453.901,289.342,10884.125,289.342,17549.518,289.342,7763.077
290.287,14444.204,290.288,10899.459,290.288,17379.018,290.287,7688.045
291.233,14418.713,291.233,10783.625,291.233,17409.492,291.233,7604.521
292.179,14378.598,292.179,10894.238,292.179,17510.494,292.179,7733.466
293.124,14449.36,293.124,10705.18,293.124,17254.439,293.124,7734.801
294.07,14510.752,294.07,10886.909,294.07,17211.877,294.07,7691.81
295.015,14338.662,295.015,10964.759,295.015,17506.402,295.015,7714.887
295.961,14378.256,295.961,10902.824,295.961,17265.1,295.961,7533.48
296.906,14287.985,296.906,10710.977,296.906,17353.764,296.906,7560.519
297.852,14294.144,297.852,10717.303,297.852,17380.051,297.852,7626.245
298.797,14300.5,298.798,10808.408,298.798,17177.424,298.797,7387.8
299.743,14374.035,299.743,10667.964,299.743,17183.805,299.743,7620.949
300.689,14353.249,300.689,10944.421,300.689,17261.617,300.689,7616.463
301.634,14415.148,301.634,10760.002,301.634,17331.006,301.634,7483.449
302.58,14386.484,302.58,10835.826,302.58,17385.562,302.58,7830.69
303.525,14328.017,303.525,10726.598,303.525,17278.021,303.525,7716.43
304.471,14389.3,304.471,10793.875,304.471,17232.684,304.471,7608.886
305.416,14269.51,305.417,10841.947,305.417,17190.41,305.416,7526.065
306.362,14051.89,306.362,10945.515,306.362,17254.695,306.362,7719.2
307.308,14080.181,307.308,10771.431,307.308,17178.76,307.308,7630.883
308.253,14430.31,308.253,10713.168,308.253,17242.904,308.253,7646.513
