X,Y,X,Y,X,Y,X,Y,X,Y
151.29,17231.619,151.29,7065.838,151.29,5708.823,151.29,5100.853,151.29,4695.504
152.235,17082.217,152.235,7237.017,152.235,5697.439,152.235,5026.9,152.235,4682.098
153.181,17094.113,153.181,7251.64,153.181,5674.002,153.181,5130.608,153.181,4680.346
154.127,16920.705,154.127,7178.328,154.127,5682.584,154.127,5103.027,154.127,4704.514
155.072,16872.336,155.072,7291.574,155.072,5639.082,155.072,5068.268,155.072,4696.961
156.018,16883.133,156.018,7097.183,156.018,5646.139,156.018,5109.817,156.018,4661.378
156.963,16663.271,156.963,7166.014,156.963,5645.28,156.963,5134.087,156.963,4679.803
157.909,16660.484,157.909,7078.627,157.909,5651.444,157.909,5166.438,157.909,4691.266
158.854,16656.881,158.854,7100.93,158.854,5650.926,158.854,5109.549,158.854,4654.85
159.8,16801.154,159.8,7279.988,159.8,5653.306,159.8,5069.838,159.8,4694.53
160.745,16516.75,160.745,7119.467,160.745,5644.3,160.745,5145.514,160.745,4693.687
161.691,16434.832,161.691,7249.496,161.691,5617.863,161.691,5082.726,161.691,4663.762
162.637,16482.025,162.637,7162.481,162.637,5638.352,162.637,5177.899,162.637,4667.203
163.582,16497.586,163.582,7288.951,163.582,5677.736,163.582,5090.61,163.582,4692.62
164.528,16331.44,164.528,7383.509,164.528,5657.491,164.528,5084.657,164.528,4667.412
165.473,16282.788,165.473,7264.287,165.473,5641.499,165.473,5089.807,165.473,4681.363
166.419,16333.92,166.419,7188.515,166.419,5643.834,166.419,5101.465,166.419,4682.875
167.364,16303.188,167.364,7042.976,167.364,5631.764,167.364,5105.282,167.364,4695.865
168.31,16137.522,168.31,6950.373,168.31,5629.942,168.31,5115.097,168.31,4718.792
169.256,16238.991,169.256,7257.656,169.256,5648.954,169.256,5132.105,169.256,4726.831
170.201,16124.907,170.201,7386.949,170.201,5684.832,170.201,5142.315,170.201,4694.093
171.147,16042.166,171.147,7293.904,171.147,5668.385,171.147,5098.736,171.147,4713.404
172.092,15928.752,172.092,7284.433,172.092,5641.503,172.092,5126.912,172.092,4691.942
173.038,16042.246,173.038,7494.616,173.038,5638.17,173.038,5101.43,173.038,4708.07
173.983,15889.514,173.983,7157.48,173.983,5603.972,173.983,5126.38,173.983,4685.507
174.929,15826.523,174.929,7207.599,174.929,5631.281,174.929,5108.075,174.929,4702.657
175.874,15663.477,175.874,7032.697,175.874,5622.651,175.874,5090.942,175.874,4666.716
176.82,15757.996,176.82,7177.258,176.82,5607.117,176.82,5085.179,176.82,4686.668
177.766,15652.962,177.766,7179.468,177.766,5609.285,177.766,5098.685,177.766,4670.267
178.711,15540.582,178.711,7087.469,178.711,5630.701,178.711,5085.262,178.711,4669.037
179.657,15414.568,179.657,7174.005,179.657,5627.54,179.657,5093.863,179.657,4725.11
180.602,15559.59,180.602,7059.407,180.602,5572.609,180.602,5107.34,180.602,4701.014
181.548,15632.532,181.548,7095.725,181.548,5626.138,181.548,5086.937,181.548,4719.762
182.493,15491.131,182.493,7227.809,182.493,5593.414,182.493,5061.02,182.493,4677.843
183.439,15451.312,183.439,7279.467,183.439,5603.046,183.439,5074.554,183.439,4712.967
184.385,15265.699,184.385,7239.035,184.385,5578.439,184.385,5087.435,184.385,4701.952
185.33,15370.502,185.33,7123.319,185.33,5603.277,185.33,5083.186,185.33,4696.224
186.276,15049.486,186.276,6980.903,186.276,5551.238,186.276,5091.199,186.276,4688.991
187.221,15280.226,187.221,7102.742,187.221,5596.169,187.221,5095.497,187.221,4702.444
188.167,15191.838,188.167,7214.37,188.167,5551.69,188.167,5070.652,188.167,4666.41
189.112,15249.882,189.112,7078.431,189.112,5580.323,189.112,5104.029,189.112,4692.307
190.058,15197.789,190.058,7201.496,190.058,5569.119,190.058,5112.228,190.058,4684.13
191.003,15148.043,191.003,7249.259,191.003,5582.366,191.003,5058.722,191.003,4673.284
191.949,15235.79,191.949,7112.141,191.949,5583.129,191.949,5058.984,191.949,4698.216
192.895,15011.54,192.895,7215.589,192.895,5577.912,192.895,5025.056,192.895,4693.663
193.84,14916.878,193.84,7209.895,193.84,5593.613,193.84,5188.957,193.84,4683.052
194.786,15054.768,194.786,7269.602,194.786,5573.753,194.786,5059.934,194.786,4716.684
195.731,14928.155,195.731,7167.954,195.731,5615.063,195.731,5114.821,195.731,4676.758
196.677,14859.568,196.677,7064.865,196.677,5572.855,196.677,5107.597,196.677,4702.716
197.622,14763.786,197.622,7022.388,197.622,5593.06,197.622,5115.001,197.622,4720.059
198.568,14852.432,198.568,7009.294,198.568,5573.828,198.568,5086.078,198.568,4709.542
199.513,14813.463,199.513,7246.044,199.513,5569.938,199.513,5160.203,199.513,4707.681
200.459,14688.461,200.459,6978.667,200.459,5565.12,200.459,5077.196,200.459,4703.515
201.405,14736.42,201.405,7148.418,201.405,5545.702,201.405,5109.906,201.405,4704.518
202.35,14727.909,202.35,7103.238,202.35,5571.303,202.35,5033.544,202.35,4680.702
203.296,14642.382,203.296,7130.062,203.296,5587.464,203.296,5049.032,203.296,4720.613
204.241,14625.684,204.241,7129.378,204.241,5576.319,204.241,5084.75,204.241,4696.018
205.187,14483.964,205.187,7107.712,205.187,5593.371,205.187,5087.519,205.187,4681.794
206.132,14489.791,206.132,6872.397,206.132,5569.979,206.132,5086.614,206.132,4669.572
207.078,14514.988,207.078,7137.416,207.078,5578.345,207.078,5124.688,207.078,4683.007
208.024,14396.401,208.024,7085.281,208.024,5552.08,208.024,5133.124,208.024,4673.303
208.969,14449.269,208.969,7194.523,208.969,5568.604,208.969,5084.709,208.969,4684.325
209.915,14534.86,209.915,7146.181,209.915,5547.047,209.915,5099.744,209.915,4680.117
210.86,14317.604,210.86,7200.773,210.86,5570.536,210.86,5114.993,210.86,4722.88
211.806,14448.221,211.806,7070.082,211.806,5561.662,211.806,5090.215,211.806,4693.13
212.751,14165.365,212.751,6899.878,212.751,5538.723,212.751,5090.782,212.751,4692.318
213.697,14308.287,213.697,7175.071,213.697,5594.298,213.697,5073.265,213.697,4696.313
214.642,14089.041,214.642,7052.891,214.642,5618.826,214.642,5094.884,214.642,4704.584
215.588,14054.577,215.588,7007.528,215.588,5548.486,215.588,5035.294,215.588,4692.629
216.534,14131.899,216.534,7031.595,216.534,5594.35,216.534,5096.896,216.534,4698.206
217.479,14156.371,217.479,7025.854,217.479,5629.225,217.479,5078.993,217.479,4686.807
