[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
42.013,7.01619,42.013,6.426,42.013,7.12879,42.013,16.47407,42.013,5.68393
42.172,6.95142,42.172,6.414,42.172,7.46023,42.172,16.53704,42.172,5.70179
42.332,7.01619,42.332,6.554,42.332,7.22727,42.332,16.51667,42.332,5.77143
42.492,6.81781,42.492,6.442,42.492,7.3125,42.492,16.48704,42.492,5.68214
42.652,6.97976,42.652,6.456,42.652,7.26515,42.652,16.47593,42.652,5.72143
42.811,7.06883,42.811,6.552,42.811,7.35227,42.811,16.57963,42.811,5.63929
42.971,7.03239,42.971,6.422,42.971,7.35227,42.971,16.49074,42.971,5.725
43.131,7.01215,43.131,6.416,43.131,7.28788,43.131,16.7537,43.131,5.73929
43.291,7.08907,43.291,6.386,43.291,7.2822,43.291,16.48333,43.291,5.78571
43.45,7.02834,43.45,6.448,43.45,7.33144,43.45,16.60926,43.45,5.74286
43.61,7.19433,43.61,6.488,43.61,7.24432,43.61,16.48519,43.61,5.72143
43.77,6.87854,43.77,6.404,43.77,7.31629,43.77,16.64815,43.77,5.7625
43.93,7.0081,43.93,6.438,43.93,7.30871,43.93,16.45741,43.93,5.71786
44.089,7.04453,44.089,6.544,44.089,7.28409,44.089,16.64815,44.089,5.61071
44.249,7.08502,44.249,6.368,44.249,7.24053,44.249,16.37407,44.249,5.66786
44.409,6.95951,44.409,6.438,44.409,7.29545,44.409,16.46482,44.409,5.8
44.569,6.99595,44.569,6.446,44.569,7.25189,44.569,16.58148,44.569,5.66429
44.728,7.1417,44.728,6.428,44.728,7.31629,44.728,16.41481,44.728,5.68929
44.888,7.07287,44.888,6.572,44.888,7.24053,44.888,16.49259,44.888,5.63929
45.048,7.19028,45.048,6.428,45.048,7.27841,45.048,16.63704,45.048,5.70179
45.208,6.98785,45.208,6.32,45.208,7.22348,45.208,16.57037,45.208,5.66964
45.367,6.85425,45.367,6.362,45.367,7.3125,45.367,16.53889,45.367,5.84107
45.527,7.06478,45.527,6.488,45.527,7.2822,45.527,16.55556,45.527,5.87321
45.687,6.93117,45.687,6.57,45.687,7.26515,45.687,16.39259,45.687,5.67857
45.847,6.92308,45.846,6.398,45.846,7.32197,45.846,16.47778,45.846,5.69107
46.006,7.09717,46.006,6.41,46.006,7.32576,46.006,16.67778,46.006,5.70357
46.166,7.05263,46.166,6.456,46.166,7.28598,46.166,16.39444,46.166,5.71786
46.326,7.05668,46.326,6.366,46.326,7.12879,46.326,16.49074,46.326,5.6125
46.486,6.88259,46.485,6.502,46.485,7.22727,46.485,16.55556,46.485,5.83393
46.645,6.97976,46.645,6.494,46.645,7.27273,46.645,16.56852,46.645,5.7125
46.805,6.93522,46.805,6.364,46.805,7.25568,46.805,16.52963,46.805,5.53571
