Mean,Mean,Mean,Mean
22.2606,37.8689,30.7599,46.657
22.3426,37.4338,30.9049,47.1663
22.0878,37.919,31.3923,47.0796
22.244,38.1234,31.192,47.797
21.8023,36.9807,31.2411,47.4307
21.353,37.4244,31.1844,46.5201
22.1195,37.4569,31.0097,47.123
22.4766,37.1174,31.2223,46.9722
22.9182,37.913,30.7776,47.0606
22.6875,37.381,31.7527,46.9471
23.0539,37.6662,31.2031,47.5339
22.6404,37.8409,31.4143,46.7821
22.7232,37.7131,31.01,47.0841
23.1646,37.5299,31.0652,47.3309
23.3165,37.632,31.0247,47.1956
23.5419,37.4581,31.626,47.5445
24.2094,37.8872,32.2906,47.4638
24.5914,37.2762,32.1978,47.3003
26.2083,37.4367,31.55,47.4362
28.7488,37.5795,31.528,47.6211
32.9995,37.7099,31.4914,47.4148
34.3471,38.3636,31.3629,47.7806
38.3426,37.512,31.3514,47.2429
40.0759,37.8438,30.8376,47.5993
40.4775,37.9401,31.9923,47.5294
41.3636,37.543,31.6581,47.5024
41.5391,37.5986,31.3747,46.8597
41.8618,38.2393,31.6353,47.2158
41.9436,37.7567,33.662,47.0561
42.3324,37.7947,32.1425,47.2133
43.0083,37.9358,31.7869,47.1607
42.8037,37.7123,32.6518,47.2469
42.6744,37.4177,32.7806,46.8467
42.4053,37.8974,32.5164,46.8152
42.7335,37.7498,32.3282,47.2289
43.8022,37.6253,33.2127,46.6435
43.1852,37.5912,32.8134,47.1985
43.5377,37.5583,32.572,47.1786
43.1182,37.8585,32.6976,47.4327
42.8508,38.2998,32.1738,47.4262
43.4861,37.8174,32.3649,47.5668
43.3825,37.8981,32.7616,48.0379
43.6923,38.0961,32.6657,47.8091
43.4674,37.9192,32.7371,47.1755
43.0159,37.8869,33.1284,46.9227
42.9603,37.4405,32.7391,47.8334
43.4766,37.8953,32.391,47.3194
42.7619,37.9459,32.9006,47.0078
43.1046,38.2601,33.1474,47.1849
43.0912,37.7404,33.0067,47.3305
42.8804,38.4201,33.2699,46.9505
43.4548,38.2433,32.9789,46.81
43.3609,37.8461,32.7425,47.4101
42.8702,38.3289,32.6986,47.2729
43.353,38.7569,33.1233,47.3215
43.6276,38.4809,33.0178,47.7631
43.4836,39.0055,32.6778,47.1694
43.2259,38.9459,32.8059,46.6594
43.7433,39.4576,32.8348,46.9405
43.4342,38.9553,32.8572,47.8261
43.5632,39.2338,33.011,47.3366
43.7501,38.9881,33.014,47.5776
43.9247,39.4991,33.5496,47.5301
43.3182,39.8556,33.7918,47.0393
43.4544,39.7867,33.878,46.9125
44.1571,39.298,33.7457,46.7135
43.9052,39.7483,34.3849,46.9885
43.4658,39.5672,34.8222,47.3369
43.3755,39.9972,34.7707,47.1165
43.4383,39.431,35.3282,46.9111
44.1919,39.1957,35.6854,46.6937
43.2307,39.4364,35.7325,47.1738
43.1118,40.2131,35.5576,47.0035
